Location,Sample,Date,Study day,ADH_ambient,ADH_internal,ADH_soil,Stage,Gravimetric moisture,pH,EC,DO,CO2 umol gdw soil-1 day-1,CO2 ug C gdw soil-1 day-1,NH4 mg per gdw,NH4 ug per gdw,NO3 mg per gdw,NO3 ug per gdw,TBS,Sorting
conint,con_int_sp1,43222,0,0,0,0,Initial,0.7072,7.6,40.91,,9.571409251,114.856911,0.023208815,23.20881493,0.009660476,9.660475733,3,SP1
con15,con_15_sp1,43222,0,0,0,0,Initial,0.395683453,7.72,43.57,98.2,1.906385215,22.87662258,0.006461084,6.461083933,0.006559712,6.55971223,3,SP1
grint,gr_int_sp1,43222,0,0,0,0,Initial,0.318925999,7.4,23.22,,3.928728239,47.14473887,0.015060376,15.06037634,0.013069677,13.06967736,3,SP1
gr15,gr_15_sp1,43222,0,0,0,0,Initial,0.414340102,7.51,18.45,96.7,2.620720119,31.44864142,0.007528061,7.528060914,0.006175952,6.175951777,3,SP1
conint,con_int_sp2,43222,0,0,0,0,Initial,0.647011309,7.09,42.46,,9.557101344,114.6852161,0.016716067,16.71606677,0.008797236,8.797236403,3,SP2
con15,con_15_sp2,43222,0,0,0,0,Initial,0.48627727,7.18,19.7,96.7,3.507785002,42.09342002,0.009670711,9.670710767,0.008883975,8.883974666,3,SP2
grint,gr_int_sp2,43222,0,0,0,0,Initial,0.366893144,7.13,45.54,,4.913158209,58.95789851,0.010636251,10.63625118,0.008507543,8.507542928,3,SP2
gr15,gr_15_sp2,43222,0,0,0,0,Initial,0.366706161,7.38,43.46,98,1.951326767,23.4159212,0.008397043,8.397042654,0.008508201,8.508201422,3,SP2
conint,con_int_sp3,43222,0,0,0,0,Initial,0.61377709,7.27,48.15,,6.894648229,82.73577875,0.018392755,18.39275542,0.006282972,6.282972136,3,SP3
con15,con_15_sp3,43222,0,0,0,0,Initial,0.422352177,7.21,30.65,98.4,3.284597465,39.41516958,0.010954008,10.95400823,0.00634938,6.349380117,3,SP3
grint,gr_int_sp3,43222,0,0,0,0,Initial,0.414685315,6.86,152.2,,6.394766351,76.73719621,0.042561279,42.56127925,0.039618734,39.6187338,3,SP3
gr15,gr_15_sp3,43222,0,0,0,0,Initial,0.436163714,7.17,57.04,97.1,2.762865679,33.15438815,0.010907185,10.90718469,0.00965868,9.658679699,3,SP3
conint,con_int_sp1,43230,8,3801,2457,2703,Bloat,0.271631206,7,59.47,,3.859931871,46.31918246,0.010227306,10.22730591,0.011854994,11.85499385,17,SP1
con15,con_15_sp1,43230,8,3801,2457,2703,Bloat,0.230295567,7.58,89.27,97.8,3.450554175,41.4066501,0.007388335,7.388334975,0.007837803,7.837802956,17,SP1
grint,gr_int_sp1,43230,8,3801,2457,2703,Bloat,0.448135198,6.97,2495,,52.21004107,626.5204929,3.053055167,3053.055167,0.003871348,3.871348096,17,SP1
gr15,gr_15_sp1,43230,8,3801,2457,2703,Bloat,0.186688312,7.07,134.4,92.7,8.952020735,107.4242488,0.037815801,37.81580087,0.01265168,12.65167965,17,SP1
conint,con_int_sp2,43230,8,3801,2457,2703,Bloat,0.207933461,7.05,59.95,,3.463426857,41.56112228,0.016292607,16.29260653,0.012752556,12.7525562,21,SP2
con15,con_15_sp2,43230,8,3801,2457,2703,Bloat,0.248687664,7.21,78.44,99.4,2.857246398,34.28695678,0.00861761,8.617609799,0.005424299,5.424299213,21,SP2
grint,gr_int_sp2,43230,8,3801,2457,2703,Bloat,0.405729514,6.61,4.537,,55.58105805,666.9726966,2.601536753,2601.536753,0.000316758,0.316757717,21,SP2
gr15,gr_15_sp2,43230,8,3801,2457,2703,Bloat,0.284563758,6.24,133.2,10.75,16.50232573,198.0279088,0.026958711,26.95871141,0.00258283,2.58282953,21,SP2
conint,con_int_sp3,43230,8,3801,2457,2703,Bloat,0.223514212,7.03,121.1,,2.273252008,27.27902409,0.012535311,12.53531094,0.014842043,14.84204307,18,SP3
con15,con_15_sp3,43230,8,3801,2457,2703,Bloat,0.263728814,7.16,76.63,98.7,1.957230836,23.48677003,0.009826755,9.826755254,0.005661505,5.661505085,18,SP3
grint,gr_int_sp3,43230,8,3801,2457,2703,Bloat,0.287376382,6.43,407.9,,43.51573266,522.188792,0.821861082,821.861082,0.014758483,14.75848284,18,SP3
gr15,gr_15_sp3,43230,8,3801,2457,2703,Bloat,0.281362007,6.55,127.4,75.7,22.67785438,272.1342525,0.028770848,28.77084827,0.006355556,6.355555556,18,SP3
conint,con_int_sp1,43234,12,6036,5352,5362,Active,0.407643312,7.48,74.84,,5.217366773,62.60840128,0.012875244,12.87524416,0.01174913,11.74912951,,SP1
con15,con_15_sp1,43234,12,6036,5352,5362,Active,0.296703297,7.57,45.89,100,2.433743732,29.20492479,0.00776293,7.762930403,0.007306491,7.306490842,,SP1
grint,gr_int_sp1,43234,12,6036,5352,5362,Active,0.451807229,7.07,4.311,,10.15080003,121.8096004,8.432096386,8432.096386,0.000971743,0.971742972,,SP1
gr15,gr_15_sp1,43234,12,6036,5352,5362,Active,0.333333333,6.5,185.1,38.8,44.47580692,533.7096831,0.195377778,195.3777778,0.002737778,2.737777778,,SP1
conint,con_int_sp2,43234,12,6036,5352,5362,Active,0.285,7.13,35.37,,1.578106329,18.93727595,0.0093548,9.3548,0.01011552,10.11552,,SP2
con15,con_15_sp2,43234,12,6036,5352,5362,Active,0.362637363,7.01,52.4,101,1.867205639,22.40646767,0.009211429,9.211428571,0.007452718,7.452717949,,SP2
grint,gr_int_sp2,43234,12,6036,5352,5362,Active,0.607142857,6.92,4.709,,53.98820304,647.8584365,6.049714286,6049.714286,0.000792857,0.792857143,,SP2
gr15,gr_15_sp2,43234,12,6036,5352,5362,Active,0.128755365,6.59,620.5,29,36.52367786,438.2841343,0.279600229,279.6002289,0.004936423,4.936423462,,SP2
conint,con_int_sp3,43234,12,6036,5352,5362,Active,0.304761905,7.26,70.78,,3.135800194,37.62960233,0.019108673,19.10867302,0.020253384,20.25338413,,SP3
con15,con_15_sp3,43234,12,6036,5352,5362,Active,0.375757576,7.34,45.58,99.3,1.58626983,19.03523796,0.013005495,13.00549495,0.008555378,8.555377778,,SP3
grint,gr_int_sp3,43234,12,6036,5352,5362,Active,0.297752809,7.03,3.057,,56.37575419,676.5090502,6.234750562,6234.750562,0.003085191,3.085191011,,SP3
gr15,gr_15_sp3,43234,12,6036,5352,5362,Active,0.368131868,5.99,407.7,48.9,42.47563728,509.7076474,0.597344615,597.3446154,0.001503121,1.503120879,,SP3
conint,con_int_sp1,43238,16,8180,8528,8360,Advanced,0.303891291,7.25,85.56,,2.940181032,35.28217239,0.010361589,10.36158946,0.013045867,13.045867,24,SP1
con15,con_15_sp1,43238,16,8180,8528,8360,Advanced,0.329078801,7.13,163.1,97.2,1.709102415,20.50922898,0.007301073,7.301072882,0.007903589,7.903588605,24,SP1
grint,gr_int_sp1,43238,16,8180,8528,8360,Advanced,0.644268775,6.88,4.721,,77.3349346,928.0192152,9.287706983,9287.706983,0.002358978,2.358977602,24,SP1
gr15,gr_15_sp1,43238,16,8180,8528,8360,Advanced,0.382315522,5.9,706.3,53.2,51.06214053,612.7456864,1.03544648,1035.44648,0.001006326,1.0063257,24,SP1
conint,con_int_sp2,43238,16,8180,8528,8360,Advanced,0.342820999,7.24,68.96,,4.428638527,53.14366232,0.012232204,12.23220409,0.018795913,18.79591314,26,SP2
con15,con_15_sp2,43238,16,8180,8528,8360,Advanced,0.304245283,7.29,60.28,98.6,1.901566685,22.81880022,0.01111217,11.11216981,0.006935107,6.935106918,26,SP2
grint,gr_int_sp2,43238,16,8180,8528,8360,Advanced,0.540740741,6.61,3.445,,75.52513215,906.3015858,5.39136,5391.36,0.00096964,0.969639506,26,SP2
gr15,gr_15_sp2,43238,16,8180,8528,8360,Advanced,0.325536062,5.84,699.4,38.6,45.42623421,545.1148105,0.675493177,675.4931774,0.001845146,1.845146199,26,SP2
conint,con_int_sp3,43238,16,8180,8528,8360,Advanced,0.324819908,7.29,53.41,,2.828661414,33.94393696,0.010669216,10.66921633,0.006980918,6.980917704,23,SP3
con15,con_15_sp3,43238,16,8180,8528,8360,Advanced,0.303376906,7.38,40.19,99.2,1.442536118,17.31043341,0.008619666,8.61966594,0.003513904,3.513904139,23,SP3
grint,gr_int_sp3,43238,16,8180,8528,8360,Advanced,0.38981289,6.63,2269,,54.57211147,654.8653377,4.454072349,4454.072349,0.000956191,0.956191268,23,SP3
gr15,gr_15_sp3,43238,16,8180,8528,8360,Advanced,0.357647059,5.88,300.5,50.2,45.94277565,551.3133078,0.284562824,284.5628235,0.000495994,0.495993725,23,SP3
conint,con_int_sp1,43249,27,14213,17814,18289,Advanced2,0.504794521,6.95,51.22,,6.962658837,83.55190605,0.012616197,12.61619726,0.00654084,6.540840183,24,SP1
con15,con_15_sp1,43249,27,14213,17814,18289,Advanced2,0.34496124,7.16,39.75,97.8,1.978208945,23.73850734,0.008679483,8.679483204,0.007356041,7.356041344,24,SP1
grint,gr_int_sp1,43249,27,14213,17814,18289,Advanced2,0.441495778,6.52,3.401,,77.17592195,926.1110634,4.635081624,4635.081624,0.001068629,1.06862887,24,SP1
gr15,gr_15_sp1,43249,27,14213,17814,18289,Advanced2,0.401723209,5.88,389.9,69.6,52.11570771,625.3884925,0.878600108,878.6001077,0.012907067,12.90706731,24,SP1
conint,con_int_sp2,43249,27,14213,17814,18289,Advanced2,0.816260163,7.09,53.52,,8.529335475,102.3520257,0.017290797,17.29079675,0.007453932,7.453931707,26,SP2
con15,con_15_sp2,43249,27,14213,17814,18289,Advanced2,0.362333169,7.06,43.81,98.1,2.183482525,26.2017903,0.009954114,9.954114352,0.005805356,5.805355742,26,SP2
grint,gr_int_sp2,43249,27,14213,17814,18289,Advanced2,0.930167598,5.99,1431,,107.5796447,1290.955736,1.441191806,1441.191806,0.00061508,0.615080074,26,SP2
gr15,gr_15_sp2,43249,27,14213,17814,18289,Advanced2,0.286751361,5.92,467.4,37.4,56.12323766,673.478852,0.083553055,83.55305505,0.001046558,1.046557774,26,SP2
conint,con_int_sp3,43249,27,14213,17814,18289,Advanced2,0.729041916,6.94,54.97,,8.273866523,99.28639827,0.01794515,17.9451497,0.006856228,6.856227545,23,SP3
con15,con_15_sp3,43249,27,14213,17814,18289,Advanced2,0.336594912,7.17,43.6,98.3,2.52057419,30.24689029,0.010728402,10.72840183,0.005467564,5.467564253,23,SP3
grint,gr_int_sp3,43249,27,14213,17814,18289,Advanced2,0.669396873,6.21,684,,76.25001463,915.0001756,1.054168479,1054.168479,0.001914242,1.914241747,23,SP3
gr15,gr_15_sp3,43249,27,14213,17814,18289,Advanced2,0.288530466,5.62,384.2,62.9,52.21708177,626.6049813,0.141910155,141.9101553,0.001072057,1.072057348,23,SP3
conint,con_int_sp1,43265,43,23070,29967,30771,Advanced3,0.208214489,6.62,89.13,,2.282120797,27.38544957,0.040924641,40.92464119,0.012111142,12.11114204,24,SP1
con15,con_15_sp1,43265,43,23070,29967,30771,Advanced3,0.246828753,7.23,79.48,99.4,1.740034653,20.88041584,0.010689479,10.68947851,0.00916336,9.163360113,24,SP1
grint,gr_int_sp1,43265,43,23070,29967,30771,Advanced3,0.300291545,6.47,3.355,,65.92263276,791.0715931,4.953590671,4953.590671,0.001203203,1.20320311,24,SP1
gr15,gr_15_sp1,43265,43,23070,29967,30771,Advanced3,0.280607248,5.68,696.2,64.5,47.5911628,571.0939536,0.577468495,577.4684949,0.009490153,9.490153444,24,SP1
conint,con_int_sp2,43265,43,23070,29967,30771,Advanced3,0.236742424,7.19,101.4,,1.346085922,16.15303106,0.021140051,21.14005051,0.009227747,9.227747475,26,SP2
con15,con_15_sp2,43265,43,23070,29967,30771,Advanced3,0.297860669,7.07,64.71,99,2.007880382,24.09456458,0.012407548,12.407548,0.006575827,6.575827391,26,SP2
grint,gr_int_sp2,43265,43,23070,29967,30771,Advanced3,0.210611803,5.65,968.8,,60.88390595,730.6068714,1.045968598,1045.968598,0.000411608,0.411608013,26,SP2
gr15,gr_15_sp2,43265,43,23070,29967,30771,Advanced3,0.242331288,5.98,465.5,75,39.13200769,469.5840923,0.109656442,109.6564417,0.009312515,9.312515337,26,SP2
conint,con_int_sp3,43265,43,23070,29967,30771,Advanced3,0.226830517,7.26,105.5,,1.289469842,15.47363811,0.020126564,20.12656358,0.007864802,7.864801502,23,SP3
con15,con_15_sp3,43265,43,23070,29967,30771,Advanced3,0.264039855,7.1,56.27,98.8,2.016588665,24.19906398,0.00793817,7.93817029,0.00427414,4.274140097,23,SP3
grint,gr_int_sp3,43265,43,23070,29967,30771,Advanced3,0.515252357,6.02,1036,,69.74934741,836.9921689,2.325811351,2325.811351,0.000682874,0.682873729,23,SP3
gr15,gr_15_sp3,43265,43,23070,29967,30771,Advanced3,0.344211823,5.52,437.5,80.25,48.6749513,584.0994156,0.2570133,257.0133005,0.001828128,1.828128079,23,SP3
conint,con_int_sp1,43280,58,31864,40296,41581,Advanced4,0.588194921,7.32,38.35,,7.683108306,92.19729967,0.011604411,11.60441089,0.008817658,8.817658202,25,SP1
con15,con_15_sp1,43280,58,31864,40296,41581,Advanced4,0.376870748,7.33,56.01,95.4,2.847480797,34.16976956,0.002606875,2.606875283,0.011415176,11.41517642,25,SP1
grint,gr_int_sp1,43280,58,31864,40296,41581,Advanced4,1.023705004,7.53,1577,,81.06737834,972.80854,3.208516828,3208.516828,0.000903922,0.903921569,25,SP1
gr15,gr_15_sp1,43280,58,31864,40296,41581,Advanced4,0.410118407,6.25,602.3,63,57.01717209,684.206065,0.710887693,710.8876929,0.006610635,6.610635091,25,SP1
conint,con_int_sp2,43280,58,31864,40296,41581,Advanced4,0.663793103,7.34,76.37,,7.357251856,88.28702227,0.010453057,10.45305747,0.00913977,9.139770115,26,SP2
con15,con_15_sp2,43280,58,31864,40296,41581,Advanced4,0.43301105,7.3,30.78,97.3,2.28474967,27.41699604,0.000726059,0.726058932,0.007772652,7.772651934,26,SP2
grint,gr_int_sp2,43280,58,31864,40296,41581,Advanced4,0.757287329,6.08,427.3,,75.49301592,905.9161911,0.500006821,500.0068213,0.000145269,0.145269086,26,SP2
gr15,gr_15_sp2,43280,58,31864,40296,41581,Advanced4,0.457720588,6.41,331.3,71.6,63.69165452,764.2998542,0.086977328,86.97732843,0.000431485,0.431485294,26,SP2
conint,con_int_sp3,43280,58,31864,40296,41581,Advanced4,0.609056604,7.33,41.56,,6.857174318,82.28609181,0.014511545,14.51154516,0.009671503,9.671502893,23,SP3
con15,con_15_sp3,43280,58,31864,40296,41581,Advanced4,0.38080869,7.31,29.72,97.8,2.16115576,25.93386912,0.008137566,8.137565882,0.005663157,5.663156709,23,SP3
