Season,Location,Study day,Stage,Name  ,Weight mg,N  percent,C  percent,CN  ratio
winter,conint,234,Skeletonization6,15_win2_conint,124.32,0.676,10.539,15.5853
winter,grint,234,Skeletonization6,15_win2_grint,104.55,0.883,11.483,13.0038
winter,conint,234,Skeletonization6,15_win3_conint,105.81,1.006,12.869,12.7877
winter,grint,234,Skeletonization6,15_win3_grint,104.23,1.081,12.709,11.7568
winter,conint,252,Skeletonization7,16_win1_conint,103.7,0.628,9.416,14.9968
winter,grint,252,Skeletonization7,16_win1_grint,104.87,0.786,10.356,13.1698
winter,conint,252,Skeletonization7,16_win2_conint,109.08,0.719,10.724,14.9158
winter,grint,252,Skeletonization7,16_win2_grint,105.98,0.723,9.405,13.0118
winter,conint,252,Skeletonization7,16_win3_conint,113.62,0.83,10.678,12.865
winter,grint,252,Skeletonization7,16_win3_grint,107.3,1.912,20.106,10.5138
winter,conint,290,Skeletonization8,17_win1_conint,107.75,0.624,8.862,14.2002
winter,grint,290,Skeletonization8,17_win1_grint,103.3,0.903,12.408,13.7351
winter,conint,290,Skeletonization8,17_win2_conint,105.46,0.68,10.096,14.8475
winter,grint,290,Skeletonization8,17_win2_grint,106.6,0.877,11.036,12.5876
winter,conint,290,Skeletonization8,17_win3_conint,107.14,0.785,10.118,12.8838
winter,grint,290,Skeletonization8,17_win3_grint,104.14,0.898,10.119,11.2645
winter,conint,335,Skeletonization9,18_win1_conint,99.53,0.759,11.412,15.0308
winter,grint,335,Skeletonization9,18_win1_grint,101.57,1.051,13.715,13.0537
winter,conint,335,Skeletonization9,18_win2_conint,105.01,0.726,10.602,14.5933
winter,grint,335,Skeletonization9,18_win2_grint,105.91,1.036,12.608,12.1739
winter,conint,335,Skeletonization9,18_win3_conint,115.04,0.855,11.363,13.2968
winter,grint,335,Skeletonization9,18_win3_grint,118.55,1.012,10.591,10.4703
winter,conint,384,Skeletonization10,19_win1_conint,103.18,0.692,10.796,15.6014
winter,grint,384,Skeletonization10,19_win1_grint,113.4,1.365,15.201,11.1358
winter,conint,384,Skeletonization10,19_win2_conint,113.21,0.646,9.599,14.8655
winter,grint,384,Skeletonization10,19_win2_grint,111.39,1.084,14.617,13.4793
winter,conint,384,Skeletonization10,19_win3_conint,119.46,0.811,11.507,14.1889
winter,grint,384,Skeletonization10,19_win3_grint,105.54,1.047,10.923,10.4285
winter,con15,0,Initial,1_win1_con15,127.7,0.566,7.818,13.8089
winter,gr15,0,Initial,1_win1_gr15,92.91,0.483,6.802,14.095
winter,con15,0,Initial,1_win2_con15,111.76,0.429,6.526,15.2105
winter,gr15,0,Initial,1_win2_gr15,88.58,0.402,6.244,15.5285
winter,con15,0,Initial,1_win3_con15,96.74,0.803,9.936,12.3746
winter,gr15,0,Initial,1_win3_gr15,106.02,0.749,9.578,12.7833
winter,con15,21,Bloat,2_win1_con15,77.68,0.666,10.39,15.5968
winter,gr15,21,Bloat,2_win1_gr15,89.7,0.439,6.359,14.486
winter,con15,21,Bloat,2_win2_con15,89.38,0.45,6.094,13.5428
winter,gr15,21,Bloat,2_win2_gr15,80.08,0.38,4.982,13.115
winter,con15,21,Bloat,2_win3_con15,81.36,0.741,9.433,12.7386
winter,gr15,21,Bloat,2_win3_gr15,89.51,0.786,9.618,12.235
winter,con15,38,Active,3_win1_con15,86.56,0.509,6.776,13.3162
winter,gr15,38,Active,3_win1_gr15,82.81,0.57,7.812,13.7009
winter,con15,38,Active,3_win2_con15,105.68,0.515,7.465,14.4889
winter,gr15,38,Active,3_win2_gr15,95.21,0.444,5.966,13.4518
